,userId,movieId,title,predicted_rating
0,141,1704,Good Will Hunting (1997),4.1339448948395106
1,141,318,"Shawshank Redemption, The (1994)",4.105718449854123
2,141,58559,"Dark Knight, The (2008)",4.087094542653994
3,141,1291,Indiana Jones and the Last Crusade (1989),3.900235984141326
4,141,4306,Shrek (2001),3.8821478803175467
5,561,260,Star Wars: Episode IV - A New Hope (1977),4.392080845664167
6,561,318,"Shawshank Redemption, The (1994)",4.357476592804288
7,561,1200,Aliens (1986),4.132652043186447
8,561,593,"Silence of the Lambs, The (1991)",4.051584789129599
9,561,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.047437978652302
10,298,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),3.6309474489685165
11,298,1653,Gattaca (1997),3.4820073843869452
12,298,32587,Sin City (2005),3.390016534837021
13,298,1208,Apocalypse Now (1979),3.3581229633635283
14,298,48516,"Departed, The (2006)",3.3375784189189712
15,420,7361,Eternal Sunshine of the Spotless Mind (2004),4.295262809490966
16,420,527,Schindler's List (1993),4.295139453202147
17,420,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.2682240509532905
18,420,8874,Shaun of the Dead (2004),4.146408704279976
19,420,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.106346241374015
20,448,1090,Platoon (1986),4.285913102953744
21,448,2959,Fight Club (1999),3.8969064231677977
22,448,6296,"Mighty Wind, A (2003)",3.891582193040607
23,448,2858,American Beauty (1999),3.8562127115335514
24,448,1208,Apocalypse Now (1979),3.8535774037255335
25,363,318,"Shawshank Redemption, The (1994)",3.9082168266661177
26,363,2396,Shakespeare in Love (1998),3.2859116711370917
27,363,95,Broken Arrow (1996),2.9456231088284994
28,363,653,Dragonheart (1996),2.6740403207267573
29,469,1090,Platoon (1986),4.404994287814671
30,469,1208,Apocalypse Now (1979),4.385348198086977
31,469,110,Braveheart (1995),4.368049204687335
32,469,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.328032491527557
33,469,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.319821587586049
34,18,778,Trainspotting (1996),4.400402379820548
35,18,48516,"Departed, The (2006)",4.359346111949571
36,18,1208,Apocalypse Now (1979),4.3338913530950265
37,18,904,Rear Window (1954),4.310605314243281
38,18,4226,Memento (2000),4.275103619419353
39,62,2571,"Matrix, The (1999)",4.820819471817064
40,62,1704,Good Will Hunting (1997),4.725449271105732
41,62,7153,"Lord of the Rings: The Return of the King, The (2003)",4.674647957024262
42,62,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.598119941619488
43,62,778,Trainspotting (1996),4.523179157672074
44,57,260,Star Wars: Episode IV - A New Hope (1977),4.6172492553631
45,57,50,"Usual Suspects, The (1995)",4.538919111253579
46,57,904,Rear Window (1954),4.472992701133501
47,57,858,"Godfather, The (1972)",4.360164691816367
48,57,1276,Cool Hand Luke (1967),4.250271119027081
49,607,2571,"Matrix, The (1999)",4.632588474301387
50,607,1207,To Kill a Mockingbird (1962),4.504568417607883
51,607,593,"Silence of the Lambs, The (1991)",4.391672088890841
52,607,2398,Miracle on 34th Street (1947),4.312081147526885
53,607,2762,"Sixth Sense, The (1999)",4.1663214911422966
54,414,1653,Gattaca (1997),4.464216671563691
55,414,1208,Apocalypse Now (1979),4.403745142257423
56,414,260,Star Wars: Episode IV - A New Hope (1977),4.396408399481758
57,414,6787,All the President's Men (1976),4.322844651484789
58,414,913,"Maltese Falcon, The (1941)",4.308752626369991
59,600,296,Pulp Fiction (1994),4.687773474624964
60,600,318,"Shawshank Redemption, The (1994)",4.240212641817505
61,600,260,Star Wars: Episode IV - A New Hope (1977),4.059533395253044
62,600,8874,Shaun of the Dead (2004),3.925551635553187
63,600,3114,Toy Story 2 (1999),3.891433407540272
64,479,910,Some Like It Hot (1959),4.118063194342003
65,479,904,Rear Window (1954),3.935812772227548
66,479,110,Braveheart (1995),3.871384952025025
67,479,838,Emma (1996),3.8549182164616154
68,479,3100,"River Runs Through It, A (1992)",3.825914713689631
69,599,1204,Lawrence of Arabia (1962),3.8484497142086713
70,599,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),3.754982934223533
71,599,8874,Shaun of the Dead (2004),3.681183409582491
72,599,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),3.65853050548251
73,599,541,Blade Runner (1982),3.624575334570528
74,310,1233,"Boot, Das (Boat, The) (1981)",4.260603061058397
75,310,1945,On the Waterfront (1954),4.039555366380431
76,310,529,Searching for Bobby Fischer (1993),3.879002168856028
77,310,58,"Postman, The (Postino, Il) (1994)",3.7830441712540264
78,310,4306,Shrek (2001),3.7272706624196856
79,179,593,"Silence of the Lambs, The (1991)",4.547905601445164
80,179,589,Terminator 2: Judgment Day (1991),4.404811580154283
81,179,296,Pulp Fiction (1994),4.358094868878142
82,179,494,Executive Decision (1996),3.9298740580675595
83,179,34,Babe (1995),3.9188327965370395
84,294,1089,Reservoir Dogs (1992),3.8309148819684187
85,294,1197,"Princess Bride, The (1987)",3.683402958888354
86,294,356,Forrest Gump (1994),3.6098380820866804
87,294,260,Star Wars: Episode IV - A New Hope (1977),3.591222191330391
88,294,910,Some Like It Hot (1959),3.56464968912674
89,305,260,Star Wars: Episode IV - A New Hope (1977),4.966948094353019
90,305,2542,"Lock, Stock & Two Smoking Barrels (1998)",4.67600447216841
91,305,74458,Shutter Island (2010),4.655370404843881
92,305,31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),4.4502482012561675
93,305,7153,"Lord of the Rings: The Return of the King, The (2003)",4.436024226766847
94,132,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",3.7850659041292216
95,132,1221,"Godfather: Part II, The (1974)",3.6786934137823506
96,132,79132,Inception (2010),3.6341745995304398
97,132,2329,American History X (1998),3.562563449731833
98,132,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",3.532104938120834
99,536,480,Jurassic Park (1993),3.908435704528285
100,536,261,Little Women (1994),3.822316364522942
101,536,350,"Client, The (1994)",3.6722356773796108
102,536,335,Underneath (1995),3.6407730908527736
103,536,300,Quiz Show (1994),3.602290752024716
104,93,318,"Shawshank Redemption, The (1994)",5.0
105,93,349,Clear and Present Danger (1994),4.680489778395313
106,93,2174,Beetlejuice (1988),4.674463894688025
107,93,1784,As Good as It Gets (1997),4.671128915030916
108,93,2968,Time Bandits (1981),4.596818300478676
109,504,5952,"Lord of the Rings: The Two Towers, The (2002)",4.266114270210145
110,504,1,Toy Story (1995),4.2270280859883265
111,504,5060,M*A*S*H (a.k.a. MASH) (1970),4.165000439311453
112,504,5991,Chicago (2002),4.105298417237126
113,504,4979,"Royal Tenenbaums, The (2001)",4.059209084607611
114,167,1197,"Princess Bride, The (1987)",4.095142844504611
115,167,1210,Star Wars: Episode VI - Return of the Jedi (1983),4.053114815422251
116,167,8368,Harry Potter and the Prisoner of Azkaban (2004),4.046959978167248
117,167,356,Forrest Gump (1994),4.000419576895306
118,167,5952,"Lord of the Rings: The Two Towers, The (2002)",3.9853837101222562
119,409,1276,Cool Hand Luke (1967),4.499912455108034
120,409,1213,Goodfellas (1990),4.4992924364488145
121,409,1219,Psycho (1960),4.320330131953179
122,409,260,Star Wars: Episode IV - A New Hope (1977),4.2157827438016255
123,409,2973,Crimes and Misdemeanors (1989),4.211048529569367
124,385,318,"Shawshank Redemption, The (1994)",4.184774780863053
125,385,1210,Star Wars: Episode VI - Return of the Jedi (1983),4.165375531717114
126,385,1208,Apocalypse Now (1979),4.115371672662126
127,385,608,Fargo (1996),4.109492832265642
128,385,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.099118009530612
129,313,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.440498381416648
130,313,858,"Godfather, The (1972)",4.4181053724935255
131,313,1221,"Godfather: Part II, The (1974)",4.338408363472585
132,313,3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",4.304069517436415
133,313,5544,Time After Time (1979),4.167103469332373
134,438,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.454117774880267
135,438,356,Forrest Gump (1994),4.3810774595714825
136,438,5952,"Lord of the Rings: The Two Towers, The (2002)",4.286626290834749
137,438,3578,Gladiator (2000),4.2450481921161005
138,438,7153,"Lord of the Rings: The Return of the King, The (2003)",4.241218508859405
139,292,260,Star Wars: Episode IV - A New Hope (1977),4.168758185696017
140,292,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),3.9524976206577542
141,292,3793,X-Men (2000),3.8703237446609142
142,292,1240,"Terminator, The (1984)",3.855773811635364
143,292,5103,"Sandlot, The (1993)",3.829092215242925
144,314,527,Schindler's List (1993),3.943041678801591
145,314,593,"Silence of the Lambs, The (1991)",3.7734527419229322
146,314,50,"Usual Suspects, The (1995)",3.699117112551836
147,314,47,Seven (a.k.a. Se7en) (1995),3.4861973181696704
148,314,587,Ghost (1990),3.4376914982446616
149,603,1954,Rocky (1976),4.921809461387925
150,603,1267,"Manchurian Candidate, The (1962)",4.711730193517008
151,603,1104,"Streetcar Named Desire, A (1951)",4.684565828203992
152,603,933,To Catch a Thief (1955),4.574238875384095
153,603,2076,Blue Velvet (1986),4.379119620862731
154,133,527,Schindler's List (1993),3.334741024355129
155,133,223,Clerks (1994),3.2912865415849586
156,133,150,Apollo 13 (1995),3.1786658276149105
157,133,474,In the Line of Fire (1993),3.1386019528071545
158,133,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.0671578622755935
159,78,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),3.8795323733665867
160,78,593,"Silence of the Lambs, The (1991)",3.826610962571551
161,78,1291,Indiana Jones and the Last Crusade (1989),3.6191188097476386
162,78,589,Terminator 2: Judgment Day (1991),3.5408365219036524
163,78,590,Dances with Wolves (1990),3.500946431911396
164,547,2858,American Beauty (1999),4.378120304382421
165,547,1299,"Killing Fields, The (1984)",4.219431984345513
166,547,1394,Raising Arizona (1987),4.158993297968694
167,547,1131,Jean de Florette (1986),4.075018301983632
168,522,33794,Batman Begins (2005),4.346023658015852
169,522,1089,Reservoir Dogs (1992),4.3399381492686615
170,522,1210,Star Wars: Episode VI - Return of the Jedi (1983),4.33957520770254
171,522,1784,As Good as It Gets (1997),4.292977448132379
172,522,318,"Shawshank Redemption, The (1994)",4.266199898571027
173,239,58559,"Dark Knight, The (2008)",4.742873312227771
174,239,260,Star Wars: Episode IV - A New Hope (1977),4.736939665945978
175,239,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.653366058670059
176,239,1089,Reservoir Dogs (1992),4.575136147188665
177,239,2028,Saving Private Ryan (1998),4.505235734883988
178,330,593,"Silence of the Lambs, The (1991)",4.276217991153922
179,330,1208,Apocalypse Now (1979),4.270171678230716
180,330,111,Taxi Driver (1976),4.187534384486899
181,330,16,Casino (1995),4.164541086420231
182,330,33794,Batman Begins (2005),4.156218500923067
183,350,608,Fargo (1996),3.974901614327217
184,350,1073,Willy Wonka & the Chocolate Factory (1971),3.8300872397407337
185,350,799,"Frighteners, The (1996)",3.3975984686869247
186,519,5989,Catch Me If You Can (2002),4.538502402382927
187,519,140110,The Intern (2015),4.484198147470249
188,519,69406,"Proposal, The (2009)",4.21803077089253
189,519,3408,Erin Brockovich (2000),4.211837678251037
190,519,3948,Meet the Parents (2000),4.190124785884183
191,560,2959,Fight Club (1999),4.233829818866502
192,560,1199,Brazil (1985),4.145308838250822
193,560,92259,Intouchables (2011),4.115837861136977
194,560,55247,Into the Wild (2007),4.1051931657808085
195,560,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.0541551212779545
196,20,5952,"Lord of the Rings: The Two Towers, The (2002)",4.668179989126547
197,20,720,Wallace & Gromit: The Best of Aardman Animation (1996),4.635573005542783
198,20,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.606401187882116
199,20,4226,Memento (2000),4.388787087953712
200,20,3897,Almost Famous (2000),4.278787747623122
201,572,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.513581043755686
202,572,1272,Patton (1970),4.474849806906602
203,572,1267,"Manchurian Candidate, The (1962)",4.405239733148041
204,572,1252,Chinatown (1974),4.378334611333581
205,572,1288,This Is Spinal Tap (1984),4.2803449514840075
206,445,2571,"Matrix, The (1999)",4.147317463463033
207,445,260,Star Wars: Episode IV - A New Hope (1977),4.146926797675736
208,445,6016,City of God (Cidade de Deus) (2002),4.113265207699482
209,445,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.0509512187188275
210,445,1080,Monty Python's Life of Brian (1979),3.982766799106043
211,249,296,Pulp Fiction (1994),4.545780195517371
212,249,1213,Goodfellas (1990),4.506201492976385
213,249,608,Fargo (1996),4.482018498945252
214,249,58559,"Dark Knight, The (2008)",4.442718837515139
215,249,1203,12 Angry Men (1957),4.423477722884414
